feature	param0_importance	param1_importance	Category8	Category6
1-cell stage conceptus_E-MTAB-5210_237	0	0	Gene_expression	Gene_expression
1-cell stage conceptus_E-MTAB-5210_57	0.00106603583040742	0	Gene_expression	Gene_expression
1st branchial arch mandibular component_E-GEOD-55966_489	0	0.00256187941785678	Gene_expression	Gene_expression
1st branchial arch mandibular component_E-GEOD-55966_666	0	0.00266789753703501	Gene_expression	Gene_expression
1st branchial arch maxillary component_E-GEOD-55966_336	0	0	Gene_expression	Gene_expression
1st branchial arch maxillary component_E-GEOD-55966_598	0	0.00100591109659438	Gene_expression	Gene_expression
2-cell stage conceptus_E-MTAB-5210_240	0	0	Gene_expression	Gene_expression
2-cell stage conceptus_E-MTAB-5210_305	0	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_121	0	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_181	0	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_387	0	0	Gene_expression	Gene_expression
adrenal medulla_E-GEOD-72165_53	0	0	Gene_expression	Gene_expression
Ala_percent	0	0	aa_composition	aa_composition
Amphipathic_percent	0.00628707525156282	0.00348362021286257	aa_composition	aa_composition
arcuate nucleus_E-GEOD-70484_18	0	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_298	0	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_43	0	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_696	0	0	Gene_expression	Gene_expression
Arg_percent	0.00042023003235632	0	aa_composition	aa_composition
ascending colon_E-MTAB-2801_546	0.00435901676352306	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-2801_637	0	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-2801_672	0.0001677380176447	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_17	0	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_218	0	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_224	0	0	Gene_expression	Gene_expression
Asp_percent	0	0.00213369342593391	aa_composition	aa_composition
Betweenness_Centrality	0.0073692430625734	0.00882840830326374	ppi	ppi
Betweenness_Centrality_Percentiles	0	0	ppi	ppi
brain_E-GEOD-22131_24	0	0	Gene_expression	Gene_expression
brain_E-GEOD-22131_337	0	0.00126396642540622	Gene_expression	Gene_expression
brain_E-GEOD-22131_457	0	0	Gene_expression	Gene_expression
brain_E-GEOD-22131_93	0	0	Gene_expression	Gene_expression
brain_E-GEOD-55966_291	0	0	Gene_expression	Gene_expression
brain_E-GEOD-55966_434	0	0.00034076647558554	Gene_expression	Gene_expression
brain_E-GEOD-55966_704	0	0	Gene_expression	Gene_expression
brain_E-GEOD-74747_706	0	0	Gene_expression	Gene_expression
brain_E-GEOD-77720_506	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_241	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_427	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_441	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_482	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_627	0	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_97	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_150	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_402	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_523	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_526	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_639	0	0	Gene_expression	Gene_expression
brain_E-MTAB-6798_646	0	0.000965146751612	Gene_expression	Gene_expression
brain_E-MTAB-7790_231	0	0	Gene_expression	Gene_expression
brain_E-MTAB-7790_301	0	0	Gene_expression	Gene_expression
brain_E-MTAB-9164_447	0	0	Gene_expression	Gene_expression
brain_E-MTAB-9164_617	0	0	Gene_expression	Gene_expression
brainstem_E-GEOD-65775_16	0	0	Gene_expression	Gene_expression
brainstem_E-GEOD-65775_20	0	0	Gene_expression	Gene_expression
brainstem_E-GEOD-65775_573	0	0	Gene_expression	Gene_expression
brainstem_E-GEOD-65775_621	0	0	Gene_expression	Gene_expression
bronchus_E-MTAB-8573_431	0	0	Gene_expression	Gene_expression
brown fat_E-GEOD-65775_37	0	0	Gene_expression	Gene_expression
brown fat_E-GEOD-65775_67	0	0.00113866626990872	Gene_expression	Gene_expression
brown fat_E-GEOD-65775_673	0	0	Gene_expression	Gene_expression
brown fat_E-GEOD-65775_76	0.00118235724217684	0	Gene_expression	Gene_expression
brown fat_E-MTAB-7445_303	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-7445_73	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-7561_391	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-8366_166	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-8366_334	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-8717_249	0	0	Gene_expression	Gene_expression
brown fat_E-MTAB-8717_567	0	0	Gene_expression	Gene_expression
