feature	param0_importance	param1_importance	Category8	Category6
1-cell stage conceptus_E-MTAB-5210_237	0	0	Gene_expression	Gene_expression
1-cell stage conceptus_E-MTAB-5210_57	0	0.00038699792741098	Gene_expression	Gene_expression
1st branchial arch mandibular component_E-GEOD-55966_489	0	0.00571765416430038	Gene_expression	Gene_expression
1st branchial arch mandibular component_E-GEOD-55966_666	0.00501990907217443	0	Gene_expression	Gene_expression
1st branchial arch maxillary component_E-GEOD-55966_336	0	0	Gene_expression	Gene_expression
1st branchial arch maxillary component_E-GEOD-55966_598	0	0.00107050291765081	Gene_expression	Gene_expression
2-cell stage conceptus_E-MTAB-5210_240	0	0	Gene_expression	Gene_expression
2-cell stage conceptus_E-MTAB-5210_305	0.00054478418849072	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_121	0	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_181	0	0	Gene_expression	Gene_expression
abdomen musculature_E-MTAB-4035_387	0	0	Gene_expression	Gene_expression
adrenal medulla_E-GEOD-72165_53	0.00393943393449548	0.00546743030245726	Gene_expression	Gene_expression
Ala_percent	0.00073989358019185	0.00652428722260755	aa_composition	aa_composition
Amphipathic_percent	0.00561369527599042	0.00160532276110328	aa_composition	aa_composition
arcuate nucleus_E-GEOD-70484_18	0.00056781534236622	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_298	0	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_43	0	0	Gene_expression	Gene_expression
arcuate nucleus_E-GEOD-70484_696	0.00060234264498063	0.00368567186492101	Gene_expression	Gene_expression
Arg_percent	0.00183991230354163	0.00303655044788026	aa_composition	aa_composition
ascending colon_E-MTAB-2801_546	0.00023159869944591	0.00245813766010633	Gene_expression	Gene_expression
ascending colon_E-MTAB-2801_637	0.00101172981253107	0.00077555581203447	Gene_expression	Gene_expression
ascending colon_E-MTAB-2801_672	0	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_17	0	0.00099349987150389	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_218	0	0	Gene_expression	Gene_expression
ascending colon_E-MTAB-6547_224	0	0	Gene_expression	Gene_expression
Asp_percent	0.0052994530658301	0.00599081849335426	aa_composition	aa_composition
Betweenness_Centrality	0.0160722395181872	0.00816599227012015	ppi	ppi
Betweenness_Centrality_Percentiles	0	0	ppi	ppi
brain_E-GEOD-22131_24	0	0.00057218625437618	Gene_expression	Gene_expression
brain_E-GEOD-22131_337	0.0270825730819695	0.00125844423414388	Gene_expression	Gene_expression
brain_E-GEOD-22131_457	0.00663727522082515	0.0012606194149501	Gene_expression	Gene_expression
brain_E-GEOD-22131_93	0	0	Gene_expression	Gene_expression
brain_E-GEOD-55966_291	0	0.0021534229729123	Gene_expression	Gene_expression
brain_E-GEOD-55966_434	0	0.0081553272175197	Gene_expression	Gene_expression
brain_E-GEOD-55966_704	0	0.00268359268226198	Gene_expression	Gene_expression
brain_E-GEOD-74747_706	0.0051516169381131	0	Gene_expression	Gene_expression
brain_E-GEOD-77720_506	0.00205671911419996	0	Gene_expression	Gene_expression
brain_E-MTAB-2328_241	0	0	Gene_expression	Gene_expression
