feature	param0_importance	param1_importance	Category8	Category6
0_minute_CDC15	0.00011210587908037	1.99633362149345e-05	Gene_expression	Gene_expression
102_minute_ethanol	0.00265244534508768	0.0008184326076956	Gene_expression	Gene_expression
120_minute_CDC15	0.00029274987593023	0.00125922284689266	Gene_expression	Gene_expression
132_minute_ethanol	0.0010579724729374	0.00190606668345704	Gene_expression	Gene_expression
14_minute_ethanol	0.00175377874521055	0.00196994885401272	Gene_expression	Gene_expression
142_minute_ethanol	0.00047975154635121	0.00254368414920709	Gene_expression	Gene_expression
162_minute_ethanol	0.00069021446511685	0.00215014617566793	Gene_expression	Gene_expression
180_minute_CDC15	0.000584060607466	0.00206640248894255	Gene_expression	Gene_expression
20_minute_ethanol	0.00737908877661722	0.0021293014917044	Gene_expression	Gene_expression
240_minute_CDC15	0.00102428126724284	0.00456522671933759	Gene_expression	Gene_expression
300_minute_CDC15	0.00174205340908027	0.00045318405677255	Gene_expression	Gene_expression
360_minute_CDC15	3.23100129891361e-07	0.00057147494394004	Gene_expression	Gene_expression
420_minute_CDC15	0	0.00026204457218213	Gene_expression	Gene_expression
480_minute_CDC15	0	0.00025431119817965	Gene_expression	Gene_expression
60_minute_CDC15	0.00543207626672412	0.00016069358789156	Gene_expression	Gene_expression
92_minute_ethanol	0.00334058814783366	0.00160076320167722	Gene_expression	Gene_expression
Ala_percent	0.006417337223625	0.00328045874977143	aa_composition	aa_composition
ALIPHATIC INDEX	0.0301414046182361	0.00193103489836479	gene_structure	gene_structure
Amphipathic_percent	0.00010828364999384	0.00411517782577409	aa_composition	aa_composition
Arg_percent	0.00892744976197235	0.00663486919051758	aa_composition	aa_composition
Aromaticity Score	0.00164571562031272	0.00101122660818081	gene_structure	gene_structure
Asn_percent	0.00160919162689369	0.00166991646359916	aa_composition	aa_composition
ASSUMING ALL CYS RESIDUES APPEAR AS HALF CYSTINES	0.00460158839115393	0.0106790287417413	gene_structure	gene_structure
ASSUMING NO CYS RESIDUES APPEAR AS HALF CYSTINES	0.00244797230256672	0.0466233828002728	gene_structure	gene_structure
Betweenness_Centrality	0.00532008071630999	0.00728505369813119	ppi	ppi
Betweenness_Centrality_Deciles	0	0	ppi	ppi
Betweenness_Centrality_Percentiles	0	0	ppi	ppi
Betweenness_Centrality_Quartiles	0	0	ppi	ppi
CAI	0.00341157022842458	0.00053537128068625	gene_structure	gene_structure
CARBON	0.127641608588942	0.0262333864363531	gene_structure	gene_structure
CDS_GC_content	0.00264556903004005	0.00433214740500732	gene_structure	gene_structure
CDS_length	0.0582945465832253	0.00221488099710649	gene_structure	gene_structure
Charged_percent	0.00597609215293499	0.00233435531899492	aa_composition	aa_composition
Closeness_Centrality	0.025688452556529	0.00326558095105698	ppi	ppi
Closeness_Centrality_Deciles	0	0	ppi	ppi
Closeness_Centrality_Percentiles	0.00095461245715643	0.00048069009312109	ppi	ppi
Closeness_Centrality_Quartiles	0	0	ppi	ppi
Clustering_Coefficient	0.00830964666116202	0.00257737136680804	ppi	ppi
Clustering_Coefficient_Deciles	0	4.0629034240859e-05	ppi	ppi
Clustering_Coefficient_Percentiles	0.00225959022081618	0.00087519920080805	ppi	ppi
Codon Bias	0.00091552759156665	0.00425529947789177	gene_structure	gene_structure
Cys_percent	0.00159194458354786	0.00285217849347885	aa_composition	aa_composition
Degree_Centrality	0.0158062643153937	0.00293749389108319	ppi	ppi
Degree_Centrality_Deciles	0	0	ppi	ppi
Degree_Centrality_Percentiles	0	0	ppi	ppi
Degree_Centrality_Quartiles	0	0	ppi	ppi
Eigenvector_Centrality	0.0243577023638861	0.00270998676202771	ppi	ppi
Eigenvector_Centrality_Deciles	0	0	ppi	ppi
Eigenvector_Centrality_Percentiles	0.00699462175117061	1.1923964272885e-06	ppi	ppi
Eigenvector_Centrality_Quartiles	0.00023262884381049	0	ppi	ppi
FOP Score	0.00037635328306	0.00149479991530828	gene_structure	gene_structure
Glu_percent	0.0017427541410043	0.00428419894120953	aa_composition	aa_composition
Gly_percent	0.0100337146293322	0.00196962986031105	aa_composition	aa_composition
GO:0000001	0	0	GO_terms	GO_terms
GO:0000028	0	0	GO_terms	GO_terms
GO:0000054	0	0	GO_terms	GO_terms
GO:0000077	0	0	GO_terms	GO_terms
GO:0000112	0	0	GO_terms	GO_terms
GO:0000121	0	0	GO_terms	GO_terms
GO:0000122	0	0	GO_terms	GO_terms
GO:0000139	1.03704308546898e-05	0	GO_terms	GO_terms
GO:0000166	0.00013576852829363	0.00163492483791433	GO_terms	GO_terms
GO:0000221	0	0	GO_terms	GO_terms
GO:0000262	0	0	GO_terms	GO_terms
GO:0000287	0	0	GO_terms	GO_terms
GO:0000290	0	0	GO_terms	GO_terms
GO:0000329	0	0	GO_terms	GO_terms
GO:0000338	0	0	GO_terms	GO_terms
GO:0000349	0	0	GO_terms	GO_terms
GO:0000350	0	0	GO_terms	GO_terms
GO:0000398	0	0	GO_terms	GO_terms
GO:0000428	0	0	GO_terms	GO_terms
GO:0000439	0	0	GO_terms	GO_terms
GO:0000452	0	0	GO_terms	GO_terms
GO:0000454	0	0	GO_terms	GO_terms
GO:0000462	0	0	GO_terms	GO_terms
GO:0000466	0	0	GO_terms	GO_terms
GO:0000502	0	0	GO_terms	GO_terms
GO:0000752	0	0	GO_terms	GO_terms
GO:0000754	0	0	GO_terms	GO_terms
GO:0000772	0	0	GO_terms	GO_terms
GO:0000775	0	0	GO_terms	GO_terms
GO:0000781	0	0	GO_terms	GO_terms
GO:0000932	0	0	GO_terms	GO_terms
GO:0000947	0	0	GO_terms	GO_terms
GO:0001172	0	0	GO_terms	GO_terms
GO:0001193	0	0	GO_terms	GO_terms
GO:0001558	0	0	GO_terms	GO_terms
GO:0001731	0	0	GO_terms	GO_terms
GO:0002100	0	0	GO_terms	GO_terms
GO:0002181	0	0	GO_terms	GO_terms
GO:0002189	0	0	GO_terms	GO_terms
GO:0003333	0	0	GO_terms	GO_terms
GO:0003674	0.00050752617648433	4.59454809629166e-06	GO_terms	GO_terms
GO:0003697	0	3.16583043352564e-05	GO_terms	GO_terms
GO:0003727	0	0	GO_terms	GO_terms
GO:0003729	0.00114416064970014	0	GO_terms	GO_terms
GO:0003735	0	0	GO_terms	GO_terms
GO:0003743	0	0	GO_terms	GO_terms
GO:0003756	0	0	GO_terms	GO_terms
GO:0003824	0.00420899279158363	9.33081554285628e-05	GO_terms	GO_terms
GO:0003849	0	0	GO_terms	GO_terms
GO:0003899	0	0	GO_terms	GO_terms
GO:0003924	0	0	GO_terms	GO_terms
GO:0003937	0	0	GO_terms	GO_terms
GO:0003968	0	0	GO_terms	GO_terms
GO:0004022	0	0	GO_terms	GO_terms
GO:0004128	0	0	GO_terms	GO_terms
GO:0004129	0	0	GO_terms	GO_terms
GO:0004181	0	0	GO_terms	GO_terms
GO:0004359	0	0	GO_terms	GO_terms
GO:0004416	0	0	GO_terms	GO_terms
GO:0004643	0	0	GO_terms	GO_terms
GO:0004672	0.0005577827016784	0.00072136914123958	GO_terms	GO_terms
GO:0004674	0	0	GO_terms	GO_terms
GO:0004707	0	0	GO_terms	GO_terms
GO:0004721	0	0	GO_terms	GO_terms
GO:0004748	0	0.00831907432587063	GO_terms	GO_terms
GO:0004749	0	0	GO_terms	GO_terms
GO:0004784	0	0	GO_terms	GO_terms
GO:0004805	0	0	GO_terms	GO_terms
GO:0004812	0.0105947809133087	0.0136065001908058	GO_terms	GO_terms
GO:0004860	0	0	GO_terms	GO_terms
GO:0005092	0	0	GO_terms	GO_terms
GO:0005102	0	0	GO_terms	GO_terms
GO:0005186	0	0	GO_terms	GO_terms
GO:0005313	0	0	GO_terms	GO_terms
GO:0005315	0	0	GO_terms	GO_terms
GO:0005351	0	0	GO_terms	GO_terms
GO:0005366	0	0	GO_terms	GO_terms
GO:0005381	0	0	GO_terms	GO_terms
GO:0005515	0.00099660536899163	9.68102378428743e-05	GO_terms	GO_terms
GO:0005516	0	0.0996782301867026	GO_terms	GO_terms
GO:0005524	0.00057565727629837	0	GO_terms	GO_terms
GO:0005525	0	0	GO_terms	GO_terms
GO:0005575	0	0	GO_terms	GO_terms
GO:0005654	0	0	GO_terms	GO_terms
GO:0005665	0	0	GO_terms	GO_terms
GO:0005666	0	0	GO_terms	GO_terms
GO:0005681	0	0	GO_terms	GO_terms
GO:0005697	0	0	GO_terms	GO_terms
GO:0005736	0	0.0266665334888697	GO_terms	GO_terms
GO:0005737	0	0.00019205852257788	GO_terms	GO_terms
GO:0005739	0	0.001080499483322	GO_terms	GO_terms
GO:0005741	0	0	GO_terms	GO_terms
GO:0005743	0	0	GO_terms	GO_terms
GO:0005758	0	0	GO_terms	GO_terms
GO:0005773	0.00137707152367858	0	GO_terms	GO_terms
GO:0005774	0.00150606439686148	0	GO_terms	GO_terms
GO:0005783	0	0	GO_terms	GO_terms
GO:0005789	0.00076106629231121	0	GO_terms	GO_terms
GO:0005819	0	0	GO_terms	GO_terms
GO:0005829	0.00198613654014751	0.00089689138691061	GO_terms	GO_terms
GO:0005832	0	0	GO_terms	GO_terms
GO:0005838	0	0	GO_terms	GO_terms
GO:0005839	0	0	GO_terms	GO_terms
GO:0005840	0	0	GO_terms	GO_terms
GO:0005850	0	0	GO_terms	GO_terms
GO:0005851	0	0	GO_terms	GO_terms
GO:0005869	0	0	GO_terms	GO_terms
GO:0005886	0.00014398579896788	0	GO_terms	GO_terms
GO:0005946	0	0	GO_terms	GO_terms
GO:0005971	0	0	GO_terms	GO_terms
GO:0005975	0	0	GO_terms	GO_terms
GO:0005991	0	0	GO_terms	GO_terms
GO:0006013	0	0	GO_terms	GO_terms
GO:0006015	0	0	GO_terms	GO_terms
GO:0006067	0	0	GO_terms	GO_terms
GO:0006085	0	0	GO_terms	GO_terms
GO:0006094	0	0	GO_terms	GO_terms
GO:0006096	0	0	GO_terms	GO_terms
GO:0006098	0	0	GO_terms	GO_terms
GO:0006099	1.702202643072e-05	0.00094548894165023	GO_terms	GO_terms
GO:0006101	0	0	GO_terms	GO_terms
GO:0006111	0	0	GO_terms	GO_terms
GO:0006119	0	0	GO_terms	GO_terms
GO:0006122	0	0	GO_terms	GO_terms
GO:0006123	0	0	GO_terms	GO_terms
GO:0006164	0	0	GO_terms	GO_terms
GO:0006189	0	0	GO_terms	GO_terms
GO:0006207	0	0	GO_terms	GO_terms
