feature	param0_importance	param1_importance	Category8	Category6
0_minute_CDC15	5.27633151674411e-05	0.00076994572239876	Gene_expression	Gene_expression
102_minute_ethanol	0.00033911260636785	0.00176412477695216	Gene_expression	Gene_expression
120_minute_CDC15	0.00025219037297617	0.00106387252651095	Gene_expression	Gene_expression
132_minute_ethanol	0	0.00052390564571455	Gene_expression	Gene_expression
14_minute_ethanol	7.99605986474464e-06	0.00028466849222861	Gene_expression	Gene_expression
142_minute_ethanol	0	0.00149892491323501	Gene_expression	Gene_expression
162_minute_ethanol	0.00025056574427793	0.00093678997984851	Gene_expression	Gene_expression
180_minute_CDC15	6.87031742928867e-05	0.0007382830746456	Gene_expression	Gene_expression
20_minute_ethanol	2.32046780990712e-05	0.00044841430730727	Gene_expression	Gene_expression
240_minute_CDC15	0.00163165277219747	0.00286863225141088	Gene_expression	Gene_expression
300_minute_CDC15	2.95154052471457e-05	0.00220708170593216	Gene_expression	Gene_expression
360_minute_CDC15	0.00035292830905018	0.00062223970259449	Gene_expression	Gene_expression
420_minute_CDC15	0	0.00042768540887634	Gene_expression	Gene_expression
480_minute_CDC15	1.48703149030494e-05	0.00090051162161701	Gene_expression	Gene_expression
60_minute_CDC15	8.78454529293269e-05	0.00038858346616466	Gene_expression	Gene_expression
92_minute_ethanol	0.00033088028275268	0.00103269463782696	Gene_expression	Gene_expression
Ala_percent	7.23240391094343e-05	0.00142452950110566	aa_composition	aa_composition
ALIPHATIC INDEX	0.00287970572143951	0.0010710754188996	gene_structure	gene_structure
Amphipathic_percent	0.000776956272724	0.00172377802563059	aa_composition	aa_composition
Arg_percent	0.00265516804898279	0.00377885935274569	aa_composition	aa_composition
Aromaticity Score	0.00080475023508205	9.26471924775067e-05	gene_structure	gene_structure
Asn_percent	0.00283329488696173	0.00405723203540708	aa_composition	aa_composition
ASSUMING ALL CYS RESIDUES APPEAR AS HALF CYSTINES	0.00156752161527728	0.00130495726243079	gene_structure	gene_structure
ASSUMING NO CYS RESIDUES APPEAR AS HALF CYSTINES	0.00056557203469389	0.00042135060216646	gene_structure	gene_structure
Betweenness_Centrality	0.00746667838518841	0.00370136955685464	ppi	ppi
Betweenness_Centrality_Deciles	0	0	ppi	ppi
Betweenness_Centrality_Percentiles	0	0	ppi	ppi
Betweenness_Centrality_Quartiles	0	0	ppi	ppi
CAI	0.0132115888682277	0.00403680371349282	gene_structure	gene_structure
CARBON	0.0394808180703299	0.0151127221140811	gene_structure	gene_structure
CDS_GC_content	7.90681483014298e-05	0.00154830756244154	gene_structure	gene_structure
CDS_length	0.0161818646164254	0.00113990799155617	gene_structure	gene_structure
Charged_percent	1.79956257912697e-05	0.00076695161548638	aa_composition	aa_composition
Closeness_Centrality	0.0146406478170595	0.0100650549739549	ppi	ppi
Closeness_Centrality_Deciles	0	0	ppi	ppi
Closeness_Centrality_Percentiles	0.00013756791748205	0.00026128654099195	ppi	ppi
Closeness_Centrality_Quartiles	0	0	ppi	ppi
Clustering_Coefficient	0.00701830674925459	0.00106413387727992	ppi	ppi
Clustering_Coefficient_Deciles	0	1.6057168394936e-05	ppi	ppi
Clustering_Coefficient_Percentiles	0.00023136794595916	0.00114646031208139	ppi	ppi
Codon Bias	0.016821586847506	0.00754060323136117	gene_structure	gene_structure
Cys_percent	0.00019500645475209	0.00117186943366761	aa_composition	aa_composition
Degree_Centrality	0.00728831425427519	0.00311503191040899	ppi	ppi
Degree_Centrality_Deciles	0	0	ppi	ppi
Degree_Centrality_Percentiles	0	4.20551854238317e-05	ppi	ppi
Degree_Centrality_Quartiles	0	0	ppi	ppi
Eigenvector_Centrality	0.00622448446681982	0.00131430733307536	ppi	ppi
Eigenvector_Centrality_Deciles	0	6.51171240803592e-05	ppi	ppi
Eigenvector_Centrality_Percentiles	0.00057216993322738	9.35473899102229e-06	ppi	ppi
Eigenvector_Centrality_Quartiles	0	0	ppi	ppi
FOP Score	0.00228358178788603	0.00035265020929358	gene_structure	gene_structure
Glu_percent	6.62271578957551e-06	0.0010281436225115	aa_composition	aa_composition
Gly_percent	0.00209235899365723	0.00172039522170085	aa_composition	aa_composition
GO:0000001	0	0.0854337615624827	GO_terms	GO_terms
GO:0000028	0	0	GO_terms	GO_terms
GO:0000054	0	0	GO_terms	GO_terms
GO:0000077	0	0	GO_terms	GO_terms
GO:0000112	0	0	GO_terms	GO_terms
GO:0000121	0	0	GO_terms	GO_terms
GO:0000122	0	0	GO_terms	GO_terms
GO:0000139	0	0.00015482700858722	GO_terms	GO_terms
GO:0000166	0	0.0002613194121513	GO_terms	GO_terms
GO:0000221	0	0	GO_terms	GO_terms
GO:0000262	0	0	GO_terms	GO_terms
GO:0000287	0	0	GO_terms	GO_terms
GO:0000290	0	0	GO_terms	GO_terms
GO:0000329	0	3.3756294822615e-05	GO_terms	GO_terms
GO:0000338	0	0	GO_terms	GO_terms
GO:0000349	0	0	GO_terms	GO_terms
GO:0000350	0	0	GO_terms	GO_terms
GO:0000398	0	0	GO_terms	GO_terms
GO:0000428	0.00135524408987892	0	GO_terms	GO_terms
GO:0000439	0	0	GO_terms	GO_terms
GO:0000452	0	0	GO_terms	GO_terms
GO:0000454	0	0	GO_terms	GO_terms
GO:0000462	0	0	GO_terms	GO_terms
GO:0000466	0	0	GO_terms	GO_terms
GO:0000502	0	0	GO_terms	GO_terms
GO:0000752	0	0	GO_terms	GO_terms
GO:0000754	0	0	GO_terms	GO_terms
GO:0000772	0	0	GO_terms	GO_terms
GO:0000775	0	0	GO_terms	GO_terms
GO:0000781	0	0	GO_terms	GO_terms
GO:0000932	0	0	GO_terms	GO_terms
GO:0000947	0	0	GO_terms	GO_terms
GO:0001172	0	0	GO_terms	GO_terms
GO:0001193	0	0	GO_terms	GO_terms
GO:0001558	0	0	GO_terms	GO_terms
GO:0001731	0	0	GO_terms	GO_terms
GO:0002100	0	0	GO_terms	GO_terms
GO:0002181	0	0	GO_terms	GO_terms
GO:0002189	0	0	GO_terms	GO_terms
GO:0003333	0	0	GO_terms	GO_terms
GO:0003674	0.0013079018367002	0.0003037258202038	GO_terms	GO_terms
GO:0003697	0	0	GO_terms	GO_terms
GO:0003727	0	0	GO_terms	GO_terms
GO:0003729	0	0	GO_terms	GO_terms
GO:0003735	0	0	GO_terms	GO_terms
GO:0003743	0	0	GO_terms	GO_terms
GO:0003756	0	0	GO_terms	GO_terms
GO:0003824	0	0	GO_terms	GO_terms
GO:0003849	0	0	GO_terms	GO_terms
GO:0003899	0	0	GO_terms	GO_terms
GO:0003924	0	1.11192179342296e-06	GO_terms	GO_terms
GO:0003937	0	0	GO_terms	GO_terms
GO:0003968	0	0	GO_terms	GO_terms
GO:0004022	0	0	GO_terms	GO_terms
GO:0004128	0	0	GO_terms	GO_terms
GO:0004129	0	0	GO_terms	GO_terms
GO:0004181	0	0	GO_terms	GO_terms
GO:0004359	0.00688098054067097	0	GO_terms	GO_terms
GO:0004416	0	0	GO_terms	GO_terms
GO:0004643	0	0	GO_terms	GO_terms
GO:0004672	0.00011479907379619	0.00319371054634247	GO_terms	GO_terms
GO:0004674	8.59810859195033e-06	0	GO_terms	GO_terms
GO:0004707	0	0	GO_terms	GO_terms
GO:0004721	0	0	GO_terms	GO_terms
GO:0004748	0	0	GO_terms	GO_terms
GO:0004749	0	0	GO_terms	GO_terms
GO:0004784	0	0	GO_terms	GO_terms
GO:0004805	0	0	GO_terms	GO_terms
GO:0004812	0	0.00087558315824454	GO_terms	GO_terms
GO:0004860	0	0	GO_terms	GO_terms
GO:0005092	0	0	GO_terms	GO_terms
GO:0005102	0	0	GO_terms	GO_terms
GO:0005186	0	0	GO_terms	GO_terms
GO:0005313	0	0	GO_terms	GO_terms
GO:0005315	0	0	GO_terms	GO_terms
GO:0005351	0	0	GO_terms	GO_terms
GO:0005366	0	0	GO_terms	GO_terms
GO:0005381	0	0	GO_terms	GO_terms
GO:0005515	0.00034419091771296	0.00013578288404557	GO_terms	GO_terms
GO:0005516	0	0	GO_terms	GO_terms
GO:0005524	0.00017420983921858	0.00017360885217023	GO_terms	GO_terms
GO:0005525	0	0	GO_terms	GO_terms
GO:0005575	0	0	GO_terms	GO_terms
GO:0005654	0	0	GO_terms	GO_terms
GO:0005665	0	0	GO_terms	GO_terms
GO:0005666	0	0	GO_terms	GO_terms
GO:0005681	0	0	GO_terms	GO_terms
GO:0005697	0	0	GO_terms	GO_terms
GO:0005736	0	0	GO_terms	GO_terms
GO:0005737	0	0.00031901868940977	GO_terms	GO_terms
GO:0005739	0.00069980213580203	1.83656151403357e-05	GO_terms	GO_terms
GO:0005741	0.00105439515656862	0	GO_terms	GO_terms
GO:0005743	9.65050402261951e-05	0	GO_terms	GO_terms
GO:0005758	0	0	GO_terms	GO_terms
GO:0005773	0	4.82753957595597e-06	GO_terms	GO_terms
GO:0005774	0	0	GO_terms	GO_terms
GO:0005783	0.00049694402194435	0.00010816631075975	GO_terms	GO_terms
GO:0005789	0	0.00049476111234239	GO_terms	GO_terms
GO:0005819	0	0	GO_terms	GO_terms
GO:0005829	6.01234850806019e-05	9.40468325792495e-05	GO_terms	GO_terms
GO:0005832	0	0	GO_terms	GO_terms
GO:0005838	0	0	GO_terms	GO_terms
GO:0005839	0	0	GO_terms	GO_terms
GO:0005840	0.0002477300633956	0	GO_terms	GO_terms
GO:0005850	0	0	GO_terms	GO_terms
GO:0005851	0	0	GO_terms	GO_terms
GO:0005869	0	0	GO_terms	GO_terms
GO:0005886	0	0.00026194305225708	GO_terms	GO_terms
GO:0005946	0	0	GO_terms	GO_terms
GO:0005971	0	0	GO_terms	GO_terms
GO:0005975	0	0	GO_terms	GO_terms
GO:0005991	0	0	GO_terms	GO_terms
GO:0006013	0	0	GO_terms	GO_terms
GO:0006015	0	0	GO_terms	GO_terms
GO:0006067	0	0	GO_terms	GO_terms
GO:0006085	0	0	GO_terms	GO_terms
GO:0006094	0	0	GO_terms	GO_terms
GO:0006096	8.50462811736108e-05	0	GO_terms	GO_terms
GO:0006098	0	0	GO_terms	GO_terms
GO:0006099	0	0	GO_terms	GO_terms
GO:0006101	0	0	GO_terms	GO_terms
GO:0006111	0	0	GO_terms	GO_terms
GO:0006119	0	0	GO_terms	GO_terms
GO:0006122	0	0	GO_terms	GO_terms
GO:0006123	0	0	GO_terms	GO_terms
GO:0006164	0	0.0159969794962015	GO_terms	GO_terms
GO:0006189	0	0	GO_terms	GO_terms
GO:0006207	0	0	GO_terms	GO_terms
GO:0006221	9.96933343944336e-05	0	GO_terms	GO_terms
GO:0006337	0	0	GO_terms	GO_terms
GO:0006352	0.00041555062562093	0	GO_terms	GO_terms
GO:0006356	0	0	GO_terms	GO_terms
GO:0006359	0	0	GO_terms	GO_terms
GO:0006360	0	0	GO_terms	GO_terms
GO:0006362	0	0	GO_terms	GO_terms
GO:0006363	0	0	GO_terms	GO_terms
GO:0006364	0	2.84541699445322e-07	GO_terms	GO_terms
GO:0006366	0.00034272898249196	0	GO_terms	GO_terms
GO:0006367	0	0	GO_terms	GO_terms
GO:0006368	0	0	GO_terms	GO_terms
GO:0006369	0	0	GO_terms	GO_terms
GO:0006383	0.00014976624739121	0	GO_terms	GO_terms
GO:0006386	0	0	GO_terms	GO_terms
GO:0006412	0	6.59779500110516e-05	GO_terms	GO_terms
GO:0006413	0	0	GO_terms	GO_terms
GO:0006415	0	0.00015963437773438	GO_terms	GO_terms
GO:0006446	0	0	GO_terms	GO_terms
GO:0006458	0	0	GO_terms	GO_terms
GO:0006506	0	0	GO_terms	GO_terms
GO:0006513	0	0	GO_terms	GO_terms
GO:0006520	0	0	GO_terms	GO_terms
GO:0006536	0	0	GO_terms	GO_terms
GO:0006537	0	0	GO_terms	GO_terms
GO:0006629	0	0	GO_terms	GO_terms
