Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
YGR095C	-16.504589104785687	2.2084832481707592	7.487474701278243e-07	1.0766825418014379e-06	1.834925269519044e-09	3.3142699979521227e-06
YDR359C	-18.696726483781227	0.3304099303213949	8.04530397909945e-09	8.012039873047687e-09	4.403933132322261e-09	1.305959661092211e-08
YMR295C	-12.666201336593938	2.59341639856043	0.0001028390912702118	0.00013274874143703367	5.972663024782285e-08	0.00037444614817334725
YIR020C	-17.55851088277354	0.3376603742545302	2.4981368768197528e-08	2.505408871597737e-08	1.3582406321962533e-08	4.122783434694406e-08
YNL076W	-17.995553274294203	0.31944953969784834	1.6057492587768746e-08	1.6096071130317693e-08	9.040533896621875e-09	2.5859667553176774e-08
YPL179W	-13.765078989316814	1.1257566520966806	2.0113883610083123e-06	2.019652673109068e-06	1.683713999778191e-07	6.9343046607418384e-06
YGR171C	-18.123154279653086	0.23258685001491639	1.3849925822958197e-08	1.3831121104315779e-08	9.181056281148226e-09	1.9733870457814242e-08
YHR200W	-12.395603156816785	0.7028310290517534	5.3070013121126264e-06	4.744254752905669e-06	1.2515860485932843e-06	1.124251973407523e-05
YLL035W	-18.206059280554605	0.49363859693988604	1.4053577069898961e-08	1.3996765334511654e-08	5.498078590964893e-09	2.7894641063336158e-08
YGL021W	-18.113737346539843	0.11334466124469102	1.3673700571596354e-08	1.3680041235999025e-08	1.1278510234334653e-08	1.6375643001959405e-08
YBR029C	-13.810097154085222	11.350641267292447	0.11253069991406339	3.1710067840007666e-05	1.2958358815634893e-15	6.554923792142581e-05
YFR024C-A	-12.24107344919407	1.490281244299534	1.5038865293243327e-05	1.2095237767695293e-05	4.6647164254266907e-07	4.3513722754536824e-05
YDR244W	-16.424962409037967	1.4912282289875387	2.2405454361144295e-07	2.2388935730172068e-07	6.34503192428691e-09	8.695914273558244e-07
YDR336W	-18.121202726842007	0.3633823956112939	1.4441177801962185e-08	1.440885375519014e-08	7.4166724023348316e-09	2.4513714955491637e-08
YER133W	-11.408876396418188	3.7879696669682232	0.0038438117391416103	0.005435957317937273	6.619084761789124e-08	0.012105129378781356
YAR019C	-17.460744006698356	0.511593399207434	2.995800562823472e-08	2.977724410823461e-08	1.1256760040515317e-08	6.058666067530816e-08
YDR365C	-16.295300707971315	0.6027845120646823	1.0048212376549395e-07	1.006336917057483e-07	3.110506066169573e-08	2.262075922568285e-07
YOR178C	-18.601396875420456	0.2605674862906856	8.667636263539282e-09	8.63285653016657e-09	5.434827289138202e-09	1.2808080527066002e-08
YNL277W-A	-17.618058155750028	0.24529603583464837	2.3025013191320682e-08	2.2994735326466585e-08	1.4905114308275408e-08	3.3392068608231404e-08
