Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
YDR123C	-25.244459890648088	3.080795289747459	1.1606450319495587e-09	1.2307955370609527e-09	6.847834964950198e-14	1.727378285286066e-09
YGL007W	-25.244459890648088	2.2743208033651934	1.4565286770131398e-10	1.44165720904096e-10	2.580464297984443e-13	4.567329760686721e-10
YCR054C	-25.244459890648088	1.7521877047313772	4.950895079958557e-11	5.0477043202262554e-11	6.091289213763974e-13	1.9364837408639798e-10
YGR150C	-25.244459890648088	2.2327265504174805	1.331772168076421e-10	1.311464262665085e-10	2.7632027193955193e-13	4.265563204360098e-10
YLR143W	-25.244459890648088	1.7521877047313772	5.0127323231909066e-11	5.047580716261692e-11	6.091289213763974e-13	1.9364837408639798e-10
YGL188C-A	-24.996500658690294	3.74037507714856	6.505930324187507e-09	1.6748095201251603e-08	2.9650871884771604e-14	6.55055236758193e-09
YKL124W	-25.244459890648088	1.8594918167193473	6.24536064005605e-11	6.128194000688158e-11	5.105652699203912e-13	2.309921576864629e-10
YGR193C	-24.981810404806694	6.411918057986475	0.00012573779239703368	3.801877353809451e-08	3.283967794457691e-16	9.806761010474273e-08
YPL010W	-24.7338511728489	41.36448645243017	0.27656707230790106	0.427478911320636	1.5336509175912168e-37	1.0
YDR031W	-25.244459890648088	3.080795289747459	9.226453034684633e-10	1.03739380527741e-09	6.847834964950198e-14	1.71888367095934e-09
YOL009C	-25.244459890648088	2.2743208033651934	1.3616569429876615e-10	1.4447465743850373e-10	2.580464297984443e-13	4.567329760686721e-10
YKL162C-A	-24.996500658690294	3.74037507714856	1.3657007022685233e-08	6.620194702274189e-09	2.947393555432963e-14	6.433982965299015e-09
YDR406W	-24.996500658690294	2.656435323061784	6.236795249706501e-10	4.769850631273929e-10	1.763611608369266e-13	1.1013172580760503e-09
YJL117W	-24.7338511728489	29.83487241055671	0.20440748423272437	2.331105598634267e-07	3.299181906270716e-35	6.292941824066681e-07
YOL011W	-24.7338511728489	5.096007140237285	7.348465872029303e-07	7.433344700804906e-08	4.112454186014078e-15	7.183072355581778e-08
YJR057W	-24.981810404806694	4.922892038777811	4.602184910750134e-07	7.505724966522242e-08	4.2678319210055005e-15	4.3316831487577005e-08
YJR151W-A	-25.244459890648088	2.9030144574734518	8.618514015533428e-10	7.372636884349105e-10	9.174021099028221e-14	1.283404576925418e-09
YDR202C	-25.244459890648088	2.9030144574734518	5.072429398041634e-10	7.398377173019911e-10	9.174021099028221e-14	1.289380228928332e-09
YNR058W	-24.996500658690294	2.8373311889526702	6.878135437911508e-10	8.017923449452224e-10	1.3096978735499484e-13	1.483010654078905e-09
YMR306W	-25.244459890648088	1.0787812909740948	1.9399084887737087e-11	1.9461383131974e-11	1.84412387865528e-12	6.403257419120697e-11
YGR170W	-25.244459890648088	1.7521877047313772	5.303557737382186e-11	5.047204325286274e-11	6.091289213763974e-13	1.9364837408639798e-10
YLR406C	-24.7338511728489	77.69685793256546	0.37588279204135744	0.4801396735061251	4.934925110520513e-63	1.0
YCL034W	-24.981810404806694	4.922892038777811	3.5090507728166624e-07	6.345318454380692e-06	4.369891570106109e-15	6.894497598800394e-08
YLR254C	-25.244459890648088	3.185601637435407	1.0390180401450775e-09	1.5047462786507458e-09	5.763412907236476e-14	2.0419598660276284e-09
YCR003W	-24.7338511728489	9.150165024185123	0.0036808055450301925	3.055754187325791e-07	3.759267598289266e-18	8.933774704348072e-07
YOR280C	-25.244459890648088	3.3282538950643046	2.500539102934532e-09	1.920876128086406e-09	4.533735348288051e-14	2.5677087355770973e-09
YDL089W	-25.244459890648088	2.9030144574734518	6.347893266530457e-10	6.819942205387527e-10	9.174021099028221e-14	1.283404576925418e-09
YPL265W	-24.996500658690294	13.46878787251508	0.030983052805244816	8.234238908624561e-07	1.375019049444435e-21	4.077564439973736e-06
YBL102W	-24.981810404806694	8.292032862517855	0.001383247532747971	2.656672870044362e-07	1.3630696376322673e-17	6.578678787754055e-07
YJR094C	-25.244459890648088	2.2107563851495162	1.2733062304008982e-10	1.2481177198506913e-10	2.8648917171859264e-13	4.1143021743086924e-10
