Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
FBgn0040797	-12.610009551181257	0.6281001979729757	4.067187892651864e-06	2.279535578212883e-06	9.194377396183765e-07	4.322341701391609e-06
FBgn0000808	-12.941008686992255	0.6390950101507373	2.918853828960409e-06	2.6350663921340527e-06	1.469098578732379e-06	4.080738662227599e-06
FBgn0036442	-12.039647060761318	0.8951550426940689	8.643117051109272e-06	6.615437746769055e-06	2.2456547325799504e-06	1.378836833879501e-05
FBgn0037750	-12.320838205096344	0.6782881370331452	5.593552722256622e-06	9.536599042612857e-06	4.560629001362619e-06	1.6684248134562347e-05
FBgn0037448	-12.080708531948595	0.5634794636413409	6.593117226743693e-06	4.49585242707378e-06	3.0260117971065146e-06	6.275687407704252e-06
FBgn0028852	-13.557547185610211	0.8285082024757222	1.804423449238219e-06	1.0636748157206477e-06	4.030505682398999e-07	1.8760533566443082e-06
FBgn0039731	-13.191134013230304	0.5799222429908225	2.2089517725723375e-06	2.155896266070102e-06	1.1717932214241564e-06	3.371942657228165e-06
FBgn0031266	-10.385057948400764	0.8678297257154104	4.5077132153102645e-05	4.0287009924589005e-05	2.1055453912892842e-05	6.844907384591333e-05
FBgn0025827	-12.998820556000474	0.5494837307313495	2.6106003268592397e-06	1.6977817785230664e-06	7.927318728933663e-07	2.9254009552390477e-06
FBgn0000454	-11.660464097369378	0.6984847127902849	1.103566050680343e-05	1.6553982756067523e-05	7.934433651348531e-06	2.9370841021701827e-05
FBgn0261267	-12.585110038557296	1.010564827590831	5.692449848137758e-06	5.908232482792296e-06	1.1471299658849973e-06	1.5151288293842544e-05
FBgn0035204	-12.486072153618998	0.585829625155481	4.465285763867302e-06	1.8228025350907523e-06	1.0730238997088324e-06	2.7142781053344045e-06
FBgn0032059	-9.83583600835319	1.955468453797219	0.00034118260706688086	0.0006820988366086871	1.9840829640493254e-05	0.0024968676590599545
FBgn0261089	-11.770407500622433	0.6281619517199759	9.463599558242132e-06	4.447820823880202e-06	2.6130893858208685e-06	6.844681287874889e-06
FBgn0033052	-11.60200237584123	0.47056504317778375	1.0282684282198988e-05	2.0479819205031683e-05	1.2409377245785465e-05	3.08159706960606e-05
FBgn0262358	-13.962346597907718	1.4195928741193509	2.285659602852079e-06	2.10828747769121e-06	1.435056271703441e-07	6.118127855280758e-06
FBgn0031580	-11.627632352525517	0.918021589749446	1.3639539350021607e-05	1.623004609057641e-05	3.910931987940623e-06	4.0128029210749494e-05
FBgn0266526	-12.231664396402458	0.9500803912848861	7.545222524924911e-06	4.961554074080264e-06	1.401039728421628e-06	1.094217432581463e-05
FBgn0037284	-12.50776309997692	1.2724607846891944	8.386201664024095e-06	1.2399390441011067e-06	2.531304474930466e-07	2.791997322703993e-06
FBgn0037003	-12.451071690806394	0.857417327995366	5.601133229642767e-06	4.525083834066379e-06	2.4953244387901182e-06	7.216325194372028e-06
FBgn0037884	-11.199370943914083	0.6939967835575896	1.7382713189849646e-05	1.9992184731028266e-05	5.259251789014539e-06	4.820222135141249e-05
FBgn0260466	-12.978028447914959	1.2514109018293458	4.991870576247826e-06	8.303601245531686e-06	4.154524819808448e-06	1.4093128098974196e-05
FBgn0029867	-12.321495854385113	0.63484716109155	5.465258663919278e-06	1.845684312501825e-05	6.972687189803447e-06	3.74197181665086e-05
FBgn0041581	-13.115937329508789	0.6282442653630934	2.475287402757054e-06	1.9754635165131747e-06	7.831773281794156e-07	3.6830810692033173e-06
FBgn0032444	-9.964824636716195	2.025912553875615	0.00035930557688911317	0.00015235295296302478	3.444762944482466e-05	0.00041251343708854785
FBgn0261633	-13.751960379357307	1.3937534796411237	2.790683991476766e-06	6.462486898481087e-07	7.51558222753106e-08	1.7405457751479466e-06
FBgn0037469	-10.887140348140939	1.2161665762103426	3.889423538492201e-05	9.07726145083115e-05	1.2185230167939757e-05	0.0002795316731881012
FBgn0013531	-11.639908171877515	0.8981782859204234	1.3054474767771318e-05	1.059156641780796e-05	4.231732037400399e-06	2.038753577871805e-05
FBgn0259195	-13.198731483929997	1.2958356859154443	4.275740851312111e-06	1.7886170288740743e-06	1.8508705498033362e-07	5.31288149613221e-06
FBgn0029922	-13.409999320431062	0.37401725560411775	1.6048219131328097e-06	3.201018069039521e-06	2.1571566034503396e-06	4.509224389622824e-06
FBgn0030457	-12.87949736211359	0.6353390737491807	3.155885432325339e-06	1.806085461468067e-06	9.443587863775239e-07	2.860198786715498e-06
FBgn0032911	-12.00896532125099	0.4915938085541608	6.9026875982210994e-06	5.627474944572496e-06	3.533166887394103e-06	8.275688962035556e-06
FBgn0260789	-13.451782168089458	0.5354745565979105	1.6737574129755482e-06	2.8232963715838376e-06	2.060079088090156e-06	3.7018203884297855e-06
FBgn0023524	-11.952255713391615	0.5058091133892009	7.323331813072386e-06	1.3428643433608034e-05	7.159688699651221e-06	2.2305082902660557e-05
FBgn0261268	-11.783262643373938	0.5709442315933819	9.023478466322075e-06	7.38907971866064e-06	4.68506454099175e-06	1.074927127922846e-05
FBgn0265631	-12.66051348385573	1.0515865529428567	5.423900991840643e-06	9.512108457741658e-06	1.1013904462055709e-06	2.9356266945469196e-05
FBgn0051664	-13.404905044242888	0.6849206523205947	1.8803222949781678e-06	1.0877487272694406e-06	4.610945389571035e-07	1.8772354042160875e-06
FBgn0032123	-11.982960068513613	0.46516426239575204	6.917113852887147e-06	3.396935779840947e-06	2.4122037046008562e-06	4.595762153832741e-06
FBgn0038109	-12.699409213515729	0.6817795968660919	3.8497361010513464e-06	7.872096182912992e-06	2.9417536507352514e-06	1.5871430510996065e-05
FBgn0031315	-12.572849791127929	0.7919186824309574	4.68466581675553e-06	1.4676870334954506e-06	5.877726373065798e-07	2.6251606226241222e-06
FBgn0038144	-13.534148367325734	0.982026103307762	2.0955193032079952e-06	1.7995098088221362e-06	6.440940321156341e-07	3.2397135907128905e-06
FBgn0030839	-12.97052342054868	0.5964714543530243	2.8057424997509114e-06	1.0013769036132536e-06	5.262146164030935e-07	1.5937169369023932e-06
FBgn0033402	-11.658111925238892	0.5927924633734449	1.0257334346741916e-05	1.0144747162257003e-05	5.537640902314867e-06	1.6390691259197067e-05
FBgn0266449	-11.534869823183008	0.7570951441970762	1.3121723251486697e-05	1.5377070125136026e-05	5.989380756721489e-06	3.0550930968487736e-05
FBgn0022724	-12.093627542484874	0.75481910632247	7.410874216579647e-06	1.3268733482407258e-05	5.216483837051883e-06	2.6129101489740182e-05
FBgn0033032	-12.219830548065339	0.7190022346141924	6.351178946342451e-06	1.328393690435947e-05	4.9887242084982205e-06	2.6852719339138046e-05
FBgn0037323	-9.754251619126272	1.5692863453103376	0.00019632229685219424	0.0005078167035111605	4.677069213844574e-05	0.0017320418102880306
FBgn0028662	-10.294003488607096	1.8214338661446876	0.00017713430867498175	0.00010245584895861396	1.0856975873147982e-05	0.00033139008430263354
FBgn0031700	-11.759706364437271	1.0885897154179915	1.3997726429789665e-05	1.7074588658090012e-05	3.4456046757881013e-06	4.490929058552995e-05
FBgn0038079	-10.62789616270512	0.9489067724343488	3.8095251206558424e-05	3.295248266729724e-05	8.307279688052365e-06	8.114046444261232e-05
FBgn0083985	-13.494608630742924	0.7249425544362947	1.804149854110755e-06	1.2646232529565543e-06	4.81311599180909e-07	2.275113767334259e-06
FBgn0034611	-11.93393973336989	0.715160095213006	8.516804458119244e-06	6.765038644575837e-06	3.746512807231528e-06	1.0736395750785766e-05
FBgn0034850	-12.805802038821831	1.0082764313852648	4.629509199370828e-06	8.637789578182583e-06	1.6807365747962332e-06	2.2610275108604973e-05
FBgn0052055	-13.524435863657537	0.6685648087731346	1.686061364179958e-06	4.4320014285869663e-07	1.9131360156707707e-07	7.96296018751585e-07
FBgn0065109	-13.750995696677101	0.969529519774024	1.7395711605321857e-06	2.2071128487075106e-07	6.751334305209404e-08	4.5300156398939573e-07
FBgn0003980	-12.705277547475099	0.6575205346467611	3.727066505863959e-06	4.483037167213594e-06	1.2423025431921142e-06	1.052601363467656e-05
FBgn0085491	-13.955000072021186	0.685009109846054	1.0938499238322054e-06	4.670230634777319e-07	1.776795485152552e-07	8.939662078762052e-07
FBgn0053309	-13.656439435759431	1.33080899108285	2.7910024008035864e-06	7.819101400136178e-07	1.6920382666425093e-07	1.5595909037732051e-06
FBgn0033889	-12.520695898529276	0.44655299525311054	4.050820828729805e-06	3.5974440929009944e-06	2.5264512882746117e-06	4.889369093838655e-06
FBgn0013771	-12.606056883747634	0.7221767355970282	4.342542598393495e-06	6.78010945570351e-06	2.200784040320156e-06	1.4660225670512258e-05
FBgn0037753	-12.885909487357104	0.5121294002184211	2.8803408961736772e-06	7.637289152562191e-06	3.6334136014176655e-06	1.3448757100035963e-05
FBgn0037260	-12.250489641506839	1.0743115028089454	8.701551946305806e-06	2.830228851386721e-06	1.5619024254282461e-06	4.4267174422914165e-06
FBgn0036118	-11.997792604839752	0.8552852383856365	8.770007049884284e-06	1.3686236181847196e-05	4.023215393415996e-06	3.104271379589728e-05
FBgn0030893	-12.10057776356026	0.509205204203986	6.351415391936006e-06	2.9645798344035666e-06	1.7699265604522775e-06	4.488183869812777e-06
FBgn0004643	-12.625985644104922	0.5071492181786867	3.766326493541379e-06	5.441747533687739e-06	3.056579823350631e-06	8.62283100293134e-06
FBgn0032120	-11.70457973000358	0.34811957012578787	8.825387797675388e-06	5.344337057057181e-06	3.90064390189586e-06	7.09907140370649e-06
FBgn0034103	-12.296199117519983	0.639656291409009	5.584435975261675e-06	6.629364459816178e-06	1.941808342590792e-06	1.52414303219253e-05
FBgn0039654	-12.516873543065422	0.4582953204983742	4.0919864583644204e-06	1.9870971483951204e-06	1.263414000574461e-06	2.864030636501644e-06
FBgn0036108	-13.182733120500608	0.8521929227231285	2.7574157335795487e-06	2.1631622548445486e-06	5.399266619277534e-07	4.8640407468060185e-06
FBgn0011745	-9.669219864352463	2.847290859348446	0.0020839842562799097	7.290155536032885e-06	3.211006235634084e-06	1.3243779244220328e-05
FBgn0054005	-14.119865455186492	0.9726771839663936	1.196132865074393e-06	5.30545156360582e-07	1.1572743078120671e-07	1.227033507650554e-06
FBgn0052106	-13.923350031309575	1.3924521872564173	2.337702905166442e-06	8.047245049063998e-08	1.6196515575585493e-08	1.8997597838868863e-07
FBgn0052783	-13.811466831201152	0.9115067142788662	1.5529448728551642e-06	1.9057887125236622e-06	2.597492595061539e-07	5.670882437188536e-06
FBgn0031497	-10.56100439548046	1.5244722671982922	8.435119512357463e-05	9.08808982591783e-06	3.233920238733351e-06	1.82771884040757e-05
FBgn0033265	-13.491029544642707	0.9689046170837579	2.178805938053395e-06	3.168877568538271e-06	1.2821136591549984e-06	5.7238629199030195e-06
FBgn0036142	-12.505846976297299	0.48070237250635584	4.172316226987537e-06	3.1244850232388606e-06	1.937164761289615e-06	4.634351871467786e-06
FBgn0011244	-11.837725888823307	0.969042841251466	1.1784373953486813e-05	3.801623517925183e-06	2.2798700019361348e-06	5.744751356234813e-06
FBgn0031996	-12.188402417772714	0.629658030262315	6.2405365877847824e-06	1.8733718971008746e-06	1.0515714860739186e-06	2.8830392262493817e-06
FBgn0031990	-13.219970520595062	0.3960597180924092	1.945855847929638e-06	8.691435100398706e-07	5.771443231571127e-07	1.1744268489970572e-06
