Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
ENSMUST00000062248.2	-13.134682714728243	2.203155834073161	2.1881610855954855e-05	1.294403132578763e-06	3.320306916015051e-08	4.555537527549618e-06
ENSMUST00000171470.7	-11.566397759288648	0.8455832325089447	1.3570846631109968e-05	2.00604949282515e-05	4.937844273167313e-06	4.840058565443265e-05
ENSMUST00000201355.3	-12.08432900991842	0.9230346630819429	8.579836008512799e-06	3.690716436697473e-06	1.0625693710714506e-06	7.378067457085288e-06
ENSMUST00000039894.12	-11.798973209417582	0.9066210264749684	1.1171365785883057e-05	8.083425189233559e-06	2.5676424182170523e-06	1.597309122143251e-05
ENSMUST00000078162.3	-12.069573735956638	3.6382388877703096	0.0017014795273521573	2.2977171428357972e-06	7.299251869496126e-09	8.416254166333134e-06
ENSMUST00000214021.2	-12.149099186608638	1.1559541472444435	1.0239208495942196e-05	4.578536541518944e-06	7.803280100724335e-07	1.086925669060944e-05
ENSMUST00000031542.12	-12.92185140553751	2.378279020344174	4.139053088525703e-05	1.0995344823239322e-06	2.5591832702062776e-08	3.844043936026224e-06
ENSMUST00000033545.5	-10.193053264905885	2.1232807165954366	0.0003304153627997991	0.0006070266681283869	9.64856954968918e-06	0.0021728575039566943
ENSMUST00000107384.9	-9.557947447498137	1.9049304458560623	0.00041989887450710273	0.0008205669543342191	3.0828008421166566e-05	0.003001547560098672
ENSMUST00000070673.8	-9.772903115172213	1.1972654108357776	0.00011661050028107421	0.00015645052351101623	1.6337758757773086e-05	0.000514587485892868
ENSMUST00000062684.8	-10.6113474765299	1.1560028287949413	4.806623721300564e-05	1.596289802917617e-05	3.0349602486579425e-06	4.1656675976412604e-05
ENSMUST00000144222.7	-10.317758753120998	1.1461975486939255	6.346607773026148e-05	2.0141298469734563e-05	3.152725157411022e-06	5.738358951240994e-05
ENSMUST00000042608.7	-12.917817818139284	2.320130289976124	3.282352208944732e-05	6.395283995704019e-06	1.3408822280343718e-07	1.781770264104932e-05
ENSMUST00000047503.15	-10.619412618722109	0.6012979242999721	2.8770668901688935e-05	4.862672249536149e-05	1.8755398617139103e-05	9.956102787926719e-05
ENSMUST00000027566.2	-12.761255725814536	1.2842762279834299	6.644102143879314e-06	1.0084022256909037e-05	1.1242903782635926e-06	2.544933963503274e-05
ENSMUST00000105364.7	-10.62670548400287	1.1002126507953534	4.417659158404389e-05	7.243164279905784e-05	1.0401877671045677e-05	0.00021942083600934583
ENSMUST00000197653.4	-12.944349614765216	1.2731693796987686	5.284397872416687e-06	2.5226052005456684e-06	2.8370261682188654e-07	6.837265487465452e-06
ENSMUST00000040357.10	-13.003014467329322	1.4627508449805244	6.324724835491172e-06	4.266252398830524e-06	2.975557009799052e-07	1.1763163727678809e-05
ENSMUST00000098892.4	-13.03133719296433	3.7788970460776325	0.0011350439598882551	0.001612099684623342	8.008161068100221e-09	0.0023025694531134244
ENSMUST00000215907.1	-10.680160860971355	1.1767886183216805	4.4930314232336954e-05	5.29597121737689e-05	4.287332417857568e-06	0.0001787186023822771
ENSMUST00000020522.8	-9.176595302884508	1.091886066407062	0.00018551813161714887	0.0003055274010110761	5.026326633796579e-05	0.0009098316469323714
ENSMUST00000036467.4	-11.553888274818874	0.8780006736717202	1.4062183528406489e-05	5.260353412670415e-06	1.693026488050586e-06	1.029706666250679e-05
ENSMUST00000034992.7	-11.988265569531578	0.8716104871649423	9.104785977149223e-06	4.733898212001805e-06	1.5029387256124705e-06	9.046831745995687e-06
ENSMUST00000216473.1	-13.064944960897392	2.2097436254409994	3.105706402808174e-05	3.3606507392716032e-06	6.43803677069968e-08	1.0849951344163422e-05
ENSMUST00000054125.8	-12.558480652900599	1.1464243710299886	6.9262829578604635e-06	2.843237999653464e-06	5.037544547740103e-07	6.570402057845324e-06
ENSMUST00000054287.8	-11.600973076649225	0.6524525243067721	1.1315623991145397e-05	1.4683634958068905e-05	6.242450419494006e-06	2.7548826464988986e-05
ENSMUST00000215962.1	-13.01260953532632	2.1116543371790666	1.9595839946222013e-05	1.5543654770706338e-06	4.5516082396208166e-08	5.373243378264238e-06
ENSMUST00000168165.1	-12.996815708546038	3.462667601267363	0.0007769916650439257	0.0009283457304166617	1.5655021645064125e-08	0.0015644653375341405
ENSMUST00000042755.6	-12.907567634207354	2.005993670116843	1.9733583013974157e-05	2.0524220955153207e-05	4.787315727376433e-06	4.8437385565365094e-05
ENSMUST00000001452.13	-8.868612791051547	1.5792040138344456	0.0004831616224839571	0.0007922551180223702	4.981218013514534e-05	0.0028604074277351604
ENSMUST00000108336.7	-13.097149934117752	1.827473439252433	1.0192720728901517e-05	7.801095430705185e-05	4.0421735911852855e-06	0.0002661463437401065
ENSMUST00000048718.3	-12.211596301847877	0.9785989170622402	8.038859439495741e-06	2.750303129082438e-06	6.859375254438729e-07	5.972229584037724e-06
