Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
ENSMUST00000167314.2	-12.404765783720164	2.4304909832895443	6.760013678079206e-05	3.2115955390292954e-06	1.1271953148007734e-07	7.970806194443204e-06
ENSMUST00000220185.1	-12.286317988870165	1.559755377698219	1.5055273529496039e-05	1.0141322938547089e-05	8.348767865593055e-07	2.734987910068863e-05
ENSMUST00000004051.7	-9.589704796146348	1.506826303207907	0.00021507466601089118	9.669176067160478e-05	1.1714443689911648e-05	0.0003087321223469483
ENSMUST00000025861.2	-11.210268367676859	1.1198358883610862	2.541553278246711e-05	5.2975869802053496e-05	8.020449909913703e-06	0.0001570284620927088
ENSMUST00000238755.1	-11.759317776008343	1.7978719302470678	4.100584660324156e-05	1.2758545090429915e-05	1.2046845789056987e-06	3.380106509389241e-05
ENSMUST00000102923.9	-10.537870196922254	0.6899380730352997	3.322063401455877e-05	1.5312852634347693e-05	8.05589476990577e-06	2.5847716297934427e-05
ENSMUST00000066386.5	-12.149654890889165	1.959680788372789	3.584757084488538e-05	0.00010931317587441784	1.7324006802725376e-06	0.00039556880042479286
ENSMUST00000027137.10	-11.054689448376108	1.0199169511826016	2.6017168043453933e-05	4.8216858216096944e-05	1.2768897971002774e-05	0.0001198272243764247
ENSMUST00000022787.7	-10.100987311269078	0.8362023552440725	5.843526146604723e-05	2.507203829433744e-05	9.481482837335255e-06	5.165657525552366e-05
ENSMUST00000167505.2	-12.043405402064478	0.8188384334818563	8.201370453806814e-06	1.2395266900849706e-05	3.0079013730416057e-06	2.8642330709791425e-05
ENSMUST00000087908.9	-10.034204479116111	1.1984968996255538	8.776328285172474e-05	0.00014931309941670847	1.9122875021652813e-05	0.0004719966265407607
ENSMUST00000060703.5	-11.371338275611548	1.928119584885361	8.603780638515677e-05	7.42534806451845e-06	6.279679687010751e-07	1.8816161309523296e-05
ENSMUST00000162751.7	-10.268991289946085	1.8643416923980765	0.00020153940166179956	0.0005360433981543058	3.106581863581413e-05	0.001908533136793197
ENSMUST00000025505.6	-10.654610182200654	1.36305957672061	6.117394535501742e-05	4.0830248287319504e-05	9.255273130138503e-06	0.00010764595785415608
