Gene_name	param0	param1	prior_mean	post_mean	post_lower_95	post_upper_95
FBgn0000097	-11.858185403684644	0.5388791278691453	8.150310858216331e-06	6.385822757408832e-06	3.928961807153893e-06	9.459751239341253e-06
FBgn0010240	-11.720871476808412	1.029556350753998	1.390001595864467e-05	6.915558819891415e-05	2.1646701857635276e-05	0.00015861646267680747
FBgn0037679	-11.975909777081057	0.6748848596524424	7.836419677902784e-06	8.964801093435607e-06	4.68692588219941e-06	1.4916156511241171e-05
FBgn0035336	-12.874433694015266	0.5589250872529672	3.021559483072771e-06	2.5779398356467203e-06	1.647496141946938e-06	3.6649732245439026e-06
FBgn0085405	-12.226025601400494	0.5954380458334647	5.836032607442448e-06	2.2051375002756782e-06	1.3763104177609704e-06	3.192242013533728e-06
FBgn0033842	-11.558758651160048	0.7417359272956033	1.2667765828147818e-05	5.480796403029222e-06	2.960275752089452e-06	8.863738109052256e-06
FBgn0024984	-11.923106603498042	0.9375202880479018	1.0196349351423356e-05	5.024068891411849e-06	1.3447504434383007e-06	1.1403934477140826e-05
FBgn0038191	-13.09941171254141	0.5522830997897512	2.3796880153666417e-06	1.1492635574841687e-06	6.649650499775433e-07	1.7148898716455754e-06
FBgn0040338	-12.24004963317239	1.4586741611408045	1.3523000081352072e-05	5.262064020294519e-05	4.8104367971138574e-06	0.00017384239158621214
FBgn0029929	-11.908150185514756	0.9234175695600992	1.030210360434914e-05	3.454153062571618e-05	8.319907378088474e-06	8.705185787769041e-05
FBgn0005427	-11.570122492038905	0.6407949988903897	1.1695407196576714e-05	2.6250924868464472e-05	1.3730725249404037e-05	4.419150383329863e-05
FBgn0038132	-11.70788104395288	0.9854320668024513	1.3372932759255585e-05	1.838131659876519e-06	6.663978294325004e-07	3.478727220894611e-06
FBgn0032646	-11.274725639681861	1.0548497847088414	2.1888319538389263e-05	1.4976797714344522e-05	4.74322787220333e-06	3.276523158421733e-05
FBgn0035581	-11.58687834944513	1.1590706186647508	1.7624555036958617e-05	1.764878795921758e-05	1.3112854505979302e-05	2.2831430783699557e-05
FBgn0034880	-12.863486589213068	0.7011160867384698	3.2912136643955343e-06	7.603549214624469e-07	3.749335243535734e-07	1.190707315762008e-06
FBgn0039562	-10.429263778282035	1.3951311276039255	7.636017713089381e-05	1.3648713814525538e-05	7.113165638471652e-06	2.276056315873538e-05
FBgn0051219	-13.489034266018649	0.9070714527869286	2.134982812356208e-06	1.3424166571477535e-06	4.5004610421021435e-07	2.4484274367273113e-06
FBgn0033355	-11.63376786739937	1.193943038078768	1.7969729925677406e-05	4.58482459121415e-05	5.978524093382707e-06	0.0001406248107194366
FBgn0034278	-13.460243338723018	1.1445659533662351	2.7426550542009364e-06	1.718996630515083e-06	2.4586758657808754e-07	4.4896495148964616e-06
FBgn0039820	-12.80700586186768	0.701719332781189	3.5057540086052275e-06	1.3624820841787977e-06	5.442106498192621e-07	2.494732953933967e-06
FBgn0034186	-12.359012844796695	0.6962922032873664	5.467007076035884e-06	7.352404760208785e-06	4.37293488575374e-06	1.114886744737933e-05
FBgn0029723	-12.563170458959945	0.7737426671563842	4.683993470841207e-06	2.6766338953461296e-06	1.4488973952522068e-06	4.217703582504881e-06
FBgn0039034	-13.435504812831283	0.628682806679646	1.8024331709779088e-06	1.2992862923837104e-06	5.8071423569005e-07	2.186715823760205e-06
FBgn0026577	-12.198862555579495	0.5410737256440674	5.8447366497234885e-06	8.610602020907247e-06	6.318504015491324e-06	1.118874766849253e-05
FBgn0041246	-13.138319060197233	0.8137384272723448	2.7185801481008898e-06	3.768893150998688e-06	2.0045489181001094e-06	6.150498160249439e-06
FBgn0040629	-12.368029903920075	0.8209356049898807	5.929813156966816e-06	2.3099142743251277e-06	1.0847028790439895e-06	3.909480619879425e-06
FBgn0030501	-13.148051945915455	0.7559230438808597	2.6109894991100806e-06	6.44544079337284e-07	2.5392559564339125e-07	1.1671769442086228e-06
FBgn0261041	-11.078127937069809	0.907302905989037	2.3142292327277246e-05	1.0401840881383534e-05	6.577798412115104e-06	1.5290084124657257e-05
FBgn0250820	-11.781357721437786	1.0553219636503777	1.3321335427619977e-05	4.757635384290822e-05	1.2753571346334215e-05	0.00011551971391087916
FBgn0053769	-12.67253280500691	0.96359059681408	5.043993095512448e-06	2.6458981623978724e-06	9.190866393371328e-07	5.104960825039136e-06
FBgn0000158	-12.62716341939759	0.7193517396118085	4.262159804958516e-06	2.8957374057405488e-06	1.5836198166394506e-06	4.561040851508841e-06
